af	aves
afe	aves
alias	aliases
bfe	bves
bus	buses
by	bies
cfe	cves
ch	ches
child	children
cus	cuses
cy	cies
deer	deer
dfe	dves
dy	dies
efe	eves
fish	fish
fy	fies
gfe	gves
go	goes
goose	geese
gy	gies
hfe	hves
hoof	hooves
hy	hies
ife	ives
ium	ia
jfe	jves
jy	jies
kfe	kves
ky	kies
lf	lves
lfe	lves
ly	lies
measles	measles
mfe	mves
mouse	mice
my	mies
nfe	nves
ny	nies
ofe	oves
ois	ois
ous	ous
pfe	pves
pox	pox
py	pies
qfe	qves
quy	quies
qy	qies
rf	rves
rfe	rves
ry	ries
sfe	sves
sh	shes
sheep	sheep
ss	sses
sy	sies
tfe	tves
tum	ta
ty	ties
ufe	uves
vfe	vves
vy	vies
wfe	wves
wy	wies
x	xes
xfe	xves
xy	xies
yfe	yves
zfe	zves
zy	zies
z	zes
chus	chi
is	ises
zz	zzes
itis	itises
ora	oras
deton	deta
tus	tuses
loma	lomas
nus	nuses
gus	guses
jo	joes
vo	voes
sus	suses
no	noes
